	Moshe Kasher	Pete Holmes	Nick Thune	Jonah Ray	Jen Kirkman	Kumail Nanjiani	Kurt Braunohler	Eddie Pepitone	Nikki Glaser	Ari Shaffir	dates
0	0	0	0	0	2.5314110943887824e-171	0	0	0	0	0	2010-01-01
1	0	0	1.4973484812206477e-212	0	1.1073047914875427e-157	0	0	0	0	2.6657393193616536e-192	2010-02-01
2	0	0	3.0457149748811984e-166	0	1.4104663143267843e-147	0	0	0	0	3.0457149748811984e-166	2010-03-01
3	0	0	9.45238298735708e-120	0	5.970715670587338e-119	0	0	0	0	1.1718886216817252e-161	2010-04-01
4	0	0	1.36231166573573e-06	0	0.00019893878017713978	0	0	0	0	1.5934640744370406e-140	2010-05-01
5	0	0	1.382936423147312e-06	0	0.00020195126408297426	0	0	0	0	6.626595341193242e-151	2010-06-01
6	0	0	1.4055692517656628e-06	0	0.0002094759179876479	0	0	0	0	2.1120296777328533e-08	2010-07-01
7	0	0	3.0262136487072673e-06	0	0.0002247364135803184	0	0	0	0	2.3213512803196413e-08	2010-08-01
8	0	0	3.086198037871873e-06	0	0.0002342243401139218	0	0	0	0	1.4091889974583e-06	2010-09-01
9	0	0	2.899104404448209e-06	0	0.0002272813538711457	0	0	0	0	1.340422235184707e-06	2010-10-01
10	0.011241192669993112	0	2.5379779013901123e-06	0	0.0002116519023197685	0	0	0.011241192669993112	0	1.1791675226431515e-06	2010-11-01
11	0.010853716602994322	0	0.00026873355198830733	0	0.0002708769883986906	0	0	0.010853716602994322	0	1.1137657315630882e-06	2010-12-01
12	0.010711704478110791	0	0.00033900078207804767	0	0.000341561319662812	0	0	0.010711704478110791	0	1.708683211391758e-06	2011-01-01
13	0.010477936624607678	0	0.00033021172900368583	0	0.00033270236271803176	0	0	0.010477936624607678	0	1.7131038052580425e-06	2011-02-01
14	0.010323466095033004	0	0.0003281639964278002	0	0.0003318755329583918	0	0	0.010323466095033004	0	7.200591913929911e-05	2011-03-01
15	0.01019504135011833	0	0.0003358331742840591	0	0.0003402025672660755	1.0048846510586719e-06	0	0.01019504135011833	0	7.264531553609726e-05	2011-04-01
16	0.010165096727254776	0	0.00034055404118194096	0	0.0003457490763163493	1.1737271480830189e-06	0	0.010165096727254776	0	7.543439901521125e-05	2011-05-01
17	0.009755865223121432	0	0.000319303402971268	0	0.00032401848114778093	2.12516952295919e-06	0	0.009755865223121432	0	6.988448969714213e-05	2011-06-01
18	0.00945987395829615	0	0.0003082873686225532	0.00020282429442470268	0.00031276640449538165	2.0625215737047585e-06	0	0.00945987395829615	0	6.811678220784657e-05	2011-07-01
19	0.009393773304438795	1.0492561652209062e-06	0.0003174181140566852	0.0002124032399734869	0.0003221928689516201	2.298132460123283e-06	0	0.009393773304438795	0	0.00013260177950985942	2011-08-01
20	0.00944575284576934	0.000195892103580332	0.0003357869171211599	0.0002282946620730636	0.00034079654410020557	0.00023296178351875021	0	0.009249860742189007	0	0.0001325305011403507	2011-09-01
21	0.009071293020206279	0.00019773148050366413	0.0003574193210169514	0.00040110209675988995	0.00036711558032931135	0.0002592848792407375	0	0.008962120002729244	0	0.00013971459977484119	2011-10-01
22	0.008854172060811441	0.00019922597733489593	0.0003726860561842432	0.00041381108217045673	0.00038563093003371273	0.000280295760499779	0	0.00874218736262813	0	0.0001357837130875772	2011-11-01
23	0.008637631568125421	0.00019814665475697825	0.0004963907686273494	0.0003984311807064757	0.000374058263458177	0.00031536952417424434	0	0.008477821370246039	0	0.0001346840324311255	2011-12-01
24	0.008350604145551293	0.00019942284592559993	0.0005254386365373445	0.0004172439332892336	0.000401542093480526	0.0003440838077570306	0	0.008137376552386163	0	0.00014208512907313642	2012-01-01
25	0.008095700746316317	0.00022261137129116673	0.0008207728887064152	0.0007726899477366828	0.0006352633729742156	0.0005786708156121264	0	0.00839404639122073	0	0.000150656646123914	2012-02-01
26	0.007771154355759871	0.00023288478696306634	0.0010428049087407743	0.000973447997691795	0.00098693581445923	0.0007931858699308258	0	0.008209002133328078	0	0.0001555689115333104	2012-03-01
27	0.007450288602384081	0.0003624130471719781	0.0011430251861877495	0.0009895906481578738	0.0010232863874222553	0.000873193440921638	0	0.007842064847419372	0.00017472375916709266	0.0001727946910210512	2012-04-01
28	0.007231048026298038	0.0003681107854758996	0.0013818067030530552	0.0010254677094643208	0.001067555052902306	0.0009324376935943641	0	0.007636871732472123	0.00019775179956321484	0.00018007289283822396	2012-05-01
29	0.006876721810698761	0.00045358515905164447	0.0015396248921834136	0.0013504826664862029	0.0011946860259946942	0.0010253640520294911	0.00022394516249993958	0.007446295753573401	0.00022394516249993958	0.00020452513678796737	2012-06-01
30	0.0063187327518204545	0.0004609715689192022	0.0017033510149435712	0.001496347177517399	0.0013554904352200442	0.001193612705152107	0.00023675345975638677	0.007014311760884612	0.00023675345975638677	0.00021275661210226236	2012-07-01
31	0.005642396172251691	0.0004940149083240713	0.002088083536181435	0.0017028661711071464	0.001619548407472094	0.001471741318261624	0.0003239381140765894	0.006441822438589067	0.0003239381140765894	0.00022543785274286795	2012-08-01
32	0.005005135476532076	0.00054626920017349	0.0021875146910534044	0.0017462677301464096	0.0016760406758541617	0.001535789418980257	0.00034620183486645784	0.005791774071859082	0.00034620183486645784	0.0002663133858619087	2012-09-01
33	0.004186035003512976	0.0007731348206553654	0.0023174886804190817	0.0017509552086667384	0.0017089867024918123	0.001617633490629482	0.00040388658798079334	0.0049120272968389625	0.00040388658798079334	0.00031974186774089543	2012-10-01
