	date	Joe Rogan pr	Duncan Trussell pr	Ari Shaffir pr	Chris Hardwick pr
0	2012-01-01	0.12391787951340748	0.08433544437562801	0.03983531183701121	0.053109755710365206
1	2012-02-01	0.12410024851179788	0.08206867648952655	0.04158202037606861	0.05092911632178798
2	2012-03-01	0.12745481948001272	0.084066718803804	0.04365938402030419	0.05253279193719658
3	2012-04-01	0.12733876046344592	0.10529699114867366	0.029898480413965492	0.053430897004690205
4	2012-05-01	0.12961370972536326	0.10783252627785311	0.030522541830658494	0.05336219049403389
5	2012-06-01	0.13116023030868668	0.10989834981242215	0.030548541980084484	0.05261736570379914
6	2012-07-01	0.13344476899022978	0.11716835851832223	0.026509307745109817	0.052256623601457816
7	2012-08-01	0.14584201611045441	0.1327381189894847	0.027930011822624643	0.05141188751772698
8	2012-09-01	0.1445966431880693	0.12706357599490897	0.027201442042825288	0.050629396509914965
9	2012-10-01	0.14654627135840856	0.13334336753948983	0.027711456621003425	0.052883177325116736
10	2012-11-01	0.12809181043014178	0.12537419512688194	0.02464543255895323	0.04576448821804526
11	2012-12-01	0.12886618665761515	0.12646298109614007	0.02407024816385843	0.04574556967297737
12	2013-01-01	0.12920925084427773	0.12782996257884255	0.02423594739948589	0.043856160538331954
13	2013-02-01	0.137740075843464	0.13583466530706842	0.02565906941939411	0.03484629553740931
14	2013-03-01	0.1551413223544877	0.1489377451353783	0.02878462021626835	0.03388857708651644
15	2013-04-01	0.14864915335103185	0.14352711554040543	0.02784785949106594	0.031578441892424175
16	2013-05-01	0.14155869825442813	0.13782326605849982	0.02737629032538265	0.030496050906840596
17	2013-06-01	0.14081213511304183	0.13706198114124507	0.027057864795040614	0.029983252971767727
18	2013-07-01	0.14182130766528797	0.1399609127840741	0.02708283852477985	0.03906505851633626
19	2013-08-01	0.135837455383531	0.13257394595572417	0.025923108773105715	0.0391216940551352
20	2013-09-01	0.13392837588648682	0.112660619999364	0.04558593636052055	0.03827905565261767
21	2013-10-01	0.1290791078947488	0.09201628521994655	0.041654511057509294	0.03936866975311425
22	2013-11-01	0.1354433938235214	0.09502202180269931	0.04296396286750903	0.03820899005224569
23	2013-12-01	0.14282203352871178	0.09925136943126658	0.04444427668785855	0.036469747722805715
24	2014-01-01	0.14596550500131455	0.10063935009083143	0.04513581484024953	0.035970109122513326
25	2014-02-01	0.14658917658909754	0.10769555712743732	0.04080430753277922	0.03597803453606266
26	2014-03-01	0.1441652448177048	0.10085549430270001	0.04068825173954049	0.0352094844039277
27	2014-04-01	0.14216577411701242	0.09650500364186368	0.03896305087950062	0.035122920406544855
28	2014-05-01	0.1409526430219062	0.10151333753478418	0.03641770270485123	0.03670484888239535
29	2014-06-01	0.1396331183167204	0.09960878106802379	0.036769759353179124	0.03240835839682753
30	2014-07-01	0.13472758776361698	0.09634958095763495	0.035222129660144534	0.03194868240535165
31	2014-08-01	0.13650944470280524	0.09660966363668706	0.03561311093543718	0.031478548281095094
32	2014-09-01	0.13641339753295956	0.0934232116013035	0.0357815073879141	0.031765805555554
33	2014-10-01	0.13951226840835396	0.09132910709932991	0.03302531870873697	0.031366057674097766
34	2014-11-01	0.1376573860060845	0.09085184783792082	0.03260977041470092	0.0312905842183116
35	2014-12-01	0.11819796549440059	0.06427659647350052	0.03576472183192817	0.03751449938945248
36	2015-01-01	0.12125131470990101	0.06527621444072351	0.03641392660644266	0.03577447628596944
37	2015-02-01	0.12064563825525025	0.0650609909587181	0.03600270271515324	0.03527558572712774
38	2015-03-01	0.12145574304220803	0.06271608310816709	0.03470873918603242	0.03465760241872693
39	2015-04-01	0.12111289519036642	0.06112725687707041	0.034113858542526	0.03568898188776016
40	2015-05-01	0.12277281762968817	0.06309083484952417	0.03469324402063439	0.03544415593060585
41	2015-06-01	0.12151657737611837	0.062400120899670404	0.034371154159570115	0.0369616223474894
42	2015-07-01	0.12206213477265737	0.061930186742575576	0.034215784160573165	0.0373385158753803
43	2015-08-01	0.12178975769228448	0.06209636394859902	0.03422279230386576	0.039902761620288586
44	2015-09-01	0.11959248152289893	0.06153532485086789	0.03344129443972722	0.039029969238822605
45	2015-10-01	0.11929688635843028	0.06102540611494162	0.03356115899771233	0.039105734582056205
46	2015-11-01	0.12140190389898782	0.061387482150905	0.033859090568341285	0.03899332369624768
47	2015-12-01	0.12113093597840141	0.06083017127507162	0.033325584692421376	0.042955868993091034
48	2016-01-01	0.12015882433788215	0.059563969081747846	0.03271237835104646	0.04260846382326659
49	2016-02-01	0.11767569745264765	0.059634084718630145	0.03185331763769852	0.04361830739246328
50	2016-03-01	0.11765914017999278	0.05948847032048511	0.031984266426404215	0.043221949648005686
51	2016-04-01	0.11841354989528512	0.05962630268902667	0.03300275948749614	0.042753645633967934
52	2016-05-01	0.11830133214084354	0.05907643506202757	0.03290300908494851	0.04255736507032787
53	2016-06-01	0.12426227359504645	0.060507346189446455	0.03374522401212743	0.04097288671164672
54	2016-07-01	0.12326187007182848	0.05904237762580387	0.03309539330132426	0.04009161461925345
55	2016-08-01	0.12232366973799917	0.05857539921817233	0.03246176668419521	0.04000168488661332
56	2016-09-01	0.12556723316735025	0.06456339563135553	0.03228925450025896	0.03849990997393839
57	2016-10-01	0.12486152132797379	0.06415822603378869	0.03211441307578711	0.03746106993133104
58	2016-11-01	0.12688892196119506	0.061976005258692346	0.03139850236579659	0.03587086694611758
59	2016-12-01	0.1267482456757265	0.06117882847660327	0.03197613815493548	0.03679501970679437
60	2017-01-01	0.12941539845261563	0.06043041341019315	0.03465644487207338	0.035376394217944376
