	Joe Rogan	Duncan Trussell	Ari Shaffir	Chris Hardwick	Jesse Thorn	Alison Rosen	Marshall Poe	Jordan Morris	Bert Kreischer	Joey Diaz	dates
0	0.0031551190424132748	0	0	0	0.003880043208643931	0	0.016203754034565084	0.003880043208643931	0	0	2010-01-01
1	0.005722499824122328	0.004352431984606272	0.00161229630557416	0	0.0036673980648482445	0	0.015312974700734724	0.0036673980648482445	0	0	2010-02-01
2	0.006689984519871661	0.009986664048916061	0.0015208386627099547	0.005397698055581235	0.0034592683591455945	0	0.015735989769904653	0.0034592683591455945	0	0	2010-03-01
3	0.0074905189061014905	0.012340777498794694	0.0014264177753702434	0.012341799810686487	0.007277017756042598	0	0.014767440262978986	0.007277017756042598	0	0	2010-04-01
4	0.007102266577518222	0.013294562877323208	0.0013523982589366782	0.01575838045329788	0.009853481909031507	0	0.01400210855981607	0.009853481909031507	0	0	2010-05-01
5	0.006767466685094609	0.01439574781160416	0.0012894196646953168	0.01939680600387766	0.010941007794099553	0	0.013341123109573763	0.010941007794099553	0	0	2010-06-01
6	0.00915297969653713	0.015854577591096423	0.001217906662671202	0.021435634287312138	0.013811503110908646	0	0.014680550046857366	0.013811503110908646	0	0.001217906662671202	2010-07-01
7	0.010756430639044879	0.01896251546436656	0.0011671277940418982	0.023876126218610447	0.015180988806832019	0	0.01406880206685102	0.015180988806832019	0	0.0011671277940418982	2010-08-01
8	0.01256530127608588	0.022338808745370173	0.0010964379539295912	0.03157250189193388	0.01868032843177956	0	0.01321752216540503	0.01868032843177956	0	0.0010964379539295912	2010-09-01
9	0.03431063516548199	0.022517077946122597	0.0010217708420281822	0.031784092800143056	0.019729527243636306	0	0.013175978399610535	0.019729527243636306	0	0.0010217708420281822	2010-10-01
10	0.03674246508696263	0.02242636315576633	0.0009689989613684754	0.03286854671181708	0.02085210686572816	0	0.014142025443976986	0.02085210686572816	0	0.0009689989613684754	2010-11-01
11	0.04052287082163201	0.024063504839134556	0.0009273177650313802	0.03253524113675274	0.020931841908144837	0	0.0135335152819035	0.020931841908144837	0	0.0009273177650313802	2010-12-01
12	0.04406633766423063	0.024819718144433105	0.0008955868772182205	0.03340363383501909	0.021800374555693357	0	0.013843148390567836	0.021800374555693357	0	0.0008955868772182205	2011-01-01
13	0.046935151649973805	0.025145289595991164	0.0008562091678763875	0.03422773224838333	0.022339833732465907	0	0.013948779011523789	0.022339833732465907	0.0008562091678763875	0.0008562091678763875	2011-02-01
14	0.05091600551771165	0.025919240600072842	0.0008167490013190567	0.03694185515444939	0.023089711181466455	0	0.01469381201374151	0.023089711181466455	0.0008167490013190567	0.0008167490013190567	2011-03-01
15	0.1437917412254121	0.14292341823967222	0.0006059165752845655	0.028805554523578566	0.017979127802957927	0	0.01245163895140441	0.017979127802957927	0.0006059165752845655	0.0006059165752845655	2011-04-01
16	0.1477786661905344	0.1473167820962847	0.0005691955749074899	0.03267689628307557	0.01838103411807104	0	0.012664652670802997	0.01838103411807104	0.0005691955749074899	0.0005691955749074899	2011-05-01
17	0.1353003376762667	0.13261792781018691	0.000564166569822654	0.03432043223653245	0.021834309231555226	0	0.013511896303937308	0.021834309231555226	0.000564166569822654	0.000564166569822654	2011-06-01
18	0.13804037278544468	0.1349347082758449	0.0005433129851899747	0.03558099570396043	0.022338451609250496	0	0.013012451562958783	0.022338451609250496	0.0005433129851899747	0.0005433129851899747	2011-07-01
19	0.13907081558877862	0.13587072120613752	0.0005235876538912163	0.0378496311381144	0.023241988842391228	0	0.012540026307235776	0.023241988842391228	0.0005235876538912163	0.0005235876538912163	2011-08-01
20	0.1390401646929736	0.13569210968795253	0.0004935984975071762	0.0391405213574107	0.025954417089559655	0	0.011821782047910255	0.025954417089559655	0.0004935984975071762	0.0004935984975071762	2011-09-01
21	0.14367810856362268	0.13880669696547845	0.0012275508549953829	0.04729571148580165	0.02588760648327352	0	0.011275321552271976	0.025887606483273522	0.0004546454167433375	0.0004546454167433375	2011-10-01
22	0.12694974237511858	0.10414205299737041	0.02435460504498639	0.0484404582491808	0.02792778265361261	0	0.010924445823850347	0.02792778265361261	0.0004405322864644987	0.0004405322864644987	2011-11-01
23	0.12891785057768929	0.10467066499369589	0.02649990578775868	0.04795433749078905	0.027581146027764698	0	0.011570444792672639	0.027581146027764698	0.00041660863643529255	0.00041660863643529255	2011-12-01
24	0.13553927026650692	0.10864753571568957	0.02925789830565032	0.04768072688019481	0.028062112714819436	0	0.01169695224790165	0.02806211271481944	0.00038569027011971246	0.00038569027011971246	2012-01-01
25	0.13558963317919404	0.1069860052963996	0.03118613343862997	0.04740439715354046	0.02636809714392414	0	0.011798190197848281	0.02636809714392414	0.0003684252156415246	0.0003684252156415246	2012-02-01
26	0.13828803596531603	0.10754667613954462	0.03246505487126412	0.047900438239251365	0.024416603150523485	0.003454590224379115	0.012267303729237317	0.024416603150523485	0.0003462611065262248	0.0003462611065262248	2012-03-01
27	0.13740578778328008	0.1256266835193391	0.023727475086764708	0.04889699280613373	0.024445585030492902	0.0031674638408465522	0.012550063624738275	0.024445585030492902	0.000323245320963714	0.000323245320963714	2012-04-01
28	0.1399073013828449	0.12722340164635249	0.024067127438276464	0.04817348690338605	0.02419795444506644	0.0042976489199056216	0.013068893506167823	0.02419795444506644	0.00030946119376170083	0.00030946119376170083	2012-05-01
29	0.14221685206429419	0.12991114092300987	0.02412006368039268	0.046977702760093186	0.02507241959256298	0.005452109532314511	0.013883446508770091	0.02507241959256298	0.00028813989396410465	0.00028813989396410465	2012-06-01
