	avg_clust	transitivity	avg_path	density	num_people	num_podcasts	dates	day_num
0	0.0	0.0	1.981651376146789	0.01834862385321101	311	8	2010-01-01	0
1	0.0	0.0	1.9821428571428572	0.017857142857142856	327	10	2010-02-01	31
2	0.0	0.0	1.982608695652174	0.017391304347826087	346	11	2010-03-01	59
3	0.0	0.0	1.9831932773109244	0.01680672268907563	366	12	2010-04-01	90
4	0.0024954665617967706	0.0008397480755773268	3.755219650448748	0.025035427491733587	383	12	2010-05-01	120
5	0.0023355591776644405	0.0008059100067159167	3.783889313301078	0.02351243527714116	400	13	2010-06-01	151
6	0.009710529355279317	0.0021668472372697724	3.91743708269132	0.02009501797637391	422	14	2010-07-01	181
7	0.008973827458878562	0.0020930232558139536	3.925758841548315	0.018490671122250068	438	15	2010-08-01	212
8	0.008620436726810255	0.002190237797246558	3.799453178400547	0.01676919571656414	462	15	2010-09-01	243
9	0.010891942304642152	0.0025684931506849314	3.806128416046158	0.015437994620092784	485	16	2010-10-01	273
10	0.012864618165973108	0.002761968530297958	3.8159954125345745	0.01430209809080483	511	16	2010-11-01	304
11	0.008416865427624275	0.0017576276533417458	4.265618207390359	0.007479861910241657	533	16	2010-12-01	334
12	0.00808446482266713	0.0016804550155118925	4.258512847902201	0.007192451486558661	550	16	2011-01-01	365
13	0.008416853137182973	0.0018323221629545177	4.280488713402369	0.0067687657645193215	573	17	2011-02-01	396
14	0.009829905069572134	0.0022067363530778165	4.243655863564437	0.0064662329797417414	598	17	2011-03-01	424
15	0.012694174472977939	0.0027433336991111597	4.2099210905181055	0.006314580941446613	623	18	2011-04-01	455
16	0.01248743343302568	0.0026771004942339376	4.186169191603022	0.006001418972496974	654	18	2011-05-01	485
17	0.01401419125191602	0.0025667839148208003	4.168732236872758	0.005831741446520368	678	18	2011-06-01	516
18	0.014717545613582366	0.002573812200461511	4.160723492008937	0.005585152087987627	698	19	2011-07-01	546
19	0.014230118943201024	0.002455615456264642	4.154636344764316	0.005384012696626956	719	20	2011-08-01	577
20	0.017393908623279646	0.003186235462800701	4.148468368820475	0.005241650536147725	748	23	2011-09-01	608
21	0.016427444171510985	0.003574381170062734	4.1281073561901644	0.004969587867877697	787	26	2011-10-01	638
22	0.02061493569231271	0.00391565587235862	3.965890080994501	0.004768422446907148	828	27	2011-11-01	669
23	0.01990805199400213	0.004039943647965526	4.105055279915615	0.004242684689612064	867	27	2011-12-01	699
24	0.020900661247276575	0.0042435281351728416	4.112680892813343	0.004047093451066961	911	27	2012-01-01	730
25	0.023699233184657744	0.004951213319307918	4.072278641446471	0.003901750332900162	948	27	2012-02-01	761
26	0.027646328029077134	0.005083210307341297	4.080437211701	0.003684497034638856	995	29	2012-03-01	790
27	0.03523149192694952	0.005843647908710256	4.0578524149343265	0.0035681042506981076	1045	29	2012-04-01	821
28	0.03506069658422512	0.005855704942389768	4.077564607344835	0.0034457250578662276	1085	31	2012-05-01	851
29	0.04084501135177449	0.006868615709756957	4.123564522908786	0.003217738545607398	1139	32	2012-06-01	882
30	0.03932209081611398	0.007018067791548455	4.14169713530287	0.0030219724500839848	1202	32	2012-07-01	912
31	0.03965322335066419	0.007555817752768198	4.119969245542115	0.0029344318986848777	1253	33	2012-08-01	943
32	0.04070955911187782	0.007544887304214949	4.11920270036298	0.00280394022551034	1306	35	2012-09-01	974
33	0.04815007714297161	0.008281634955029833	4.105058065782188	0.0026786652929921572	1360	37	2012-10-01	1004
34	0.04843760240281903	0.008434232745302339	4.129830716582773	0.0024664682620571567	1436	37	2012-11-01	1035
35	0.04785757401249663	0.008538254233446113	4.132964440187704	0.002356149166655733	1499	39	2012-12-01	1065
36	0.05349753893404804	0.009386361656118562	4.125873535718752	0.0022775731238237197	1551	40	2013-01-01	1096
37	0.055329243394674196	0.009406920233972587	4.126775707997802	0.0021604918716810837	1636	42	2013-02-01	1127
38	0.053158269782380696	0.009346550677726077	4.150581614318579	0.002049463804933906	1738	43	2013-03-01	1155
39	0.054280261038620325	0.009796746717505612	4.160268135647586	0.0019485616464003537	1841	46	2013-04-01	1186
40	0.04974243398576471	0.009568577419203037	4.530898452185481	0.0016639193521264643	1921	49	2013-05-01	1216
41	0.049526626693830955	0.009663734630779186	4.5251201321997785	0.0015954812414989406	2019	50	2013-06-01	1247
42	0.051250826857897336	0.0099113128860265	4.508795533671098	0.0015439821204377288	2105	50	2013-07-01	1277
43	0.0537579539174179	0.010522184886316253	4.50525215810995	0.0015108834827144686	2186	52	2013-08-01	1308
44	0.056215633609934666	0.010933693556394536	4.502226629192121	0.0014651644714065311	2273	53	2013-09-01	1339
45	0.055316872511848414	0.010628608312116757	4.498722937065056	0.001412890707442481	2369	53	2013-10-01	1369
46	0.05694833001342275	0.010819114100016257	4.494683428295487	0.0013630154835313655	2473	54	2013-11-01	1400
47	0.05665513943048978	0.010933713207407544	4.52224863618609	0.0012905944019626632	2600	55	2013-12-01	1430
48	0.0561274946200083	0.011272080685594356	4.521286393042827	0.0012509991843669887	2700	56	2014-01-01	1461
49	0.057720342939055175	0.012081280075804111	4.504211309007832	0.0012266771458181636	2778	58	2014-02-01	1492
50	0.05943392971310808	0.012410233161956377	4.513134353195688	0.0011872243816044407	2887	59	2014-03-01	1520
51	0.058463520442046085	0.012817994660381339	4.51171812864018	0.0011605094882909672	2985	63	2014-04-01	1551
52	0.06096455782284595	0.013104054570309444	4.5186204092159095	0.0011280425118913179	3082	64	2014-05-01	1581
53	0.06439592457743325	0.013676228819202612	4.516048929455558	0.001093603164372231	3182	66	2014-06-01	1612
