	podcast1	podcast2	score
103	The Joe Rogan Experience	Double Date Podcast	359407599
104	The Joe Rogan Experience	It's All Happening	8922263366
105	The Joe Rogan Experience	The Astral Hustle with Cory Allen	3919023892
106	The Joe Rogan Experience	Mindrolling with Raghu Markus	16914101644
107	The Joe Rogan Experience	Chris Grosso The Indie Spiritualist	30861792
108	The Joe Rogan Experience	London Real	9777943528
109	The Joe Rogan Experience	Onnit Podcast	4080723196
110	The Joe Rogan Experience	Brody Stevens Festival Of Sports	216576786
111	The Joe Rogan Experience	The Steven Brody Stevens Festival Of Friendship	8535853744
112	The Joe Rogan Experience	Wait Wait... Don't Tell Me!	0
113	The Joe Rogan Experience	Superego	141424822
114	The Joe Rogan Experience	Savage Lovecast	61951873
115	The Joe Rogan Experience	Tom Rhodes Radio Smart Camp	12463423051
116	The Joe Rogan Experience	The Full Charge Power Hour featuring Matt Fulchiron	2516807356
117	The Joe Rogan Experience	The 31 with Brandt Tobler	6951419074
118	The Joe Rogan Experience	Good Times: With Steve Simeone	19497230615
119	The Joe Rogan Experience	Twisting The Wind with Johnny Pemberton	2557895437
120	The Joe Rogan Experience	LIVE TO TAPE with Johnny Pemberton	5825947954
121	The Joe Rogan Experience	Mohr Stories with Jay Mohr	37109189
122	The Joe Rogan Experience	The Pony Hour	954648812
123	The Joe Rogan Experience	Jocko Podcast	1871875444
124	The Joe Rogan Experience	The Tim Ferriss Show	5448482345
125	The Joe Rogan Experience	StarTalk Radio	173017119
126	The Joe Rogan Experience	The Doug Stanhope Podcast	8384058098
127	The Joe Rogan Experience	Bitch Sesh: A Real Housewives Breakdown	0
128	The Joe Rogan Experience	Put Your Hands Together with Cam and Rhea	5777609303
129	The Joe Rogan Experience	Watch What Happens Live with Andy Cohen	99447443
130	The Joe Rogan Experience	Rap Radar Podcast	61948672
131	The Joe Rogan Experience	The Vlad Couch	191238502
132	The Joe Rogan Experience	Allegedly with Theo Von & Matthew Cole Weiss	613594457
133	The Joe Rogan Experience	This Life #YOULIVE With Dr Drew	2730473009
134	The Joe Rogan Experience	With Friends Like These	0
135	The Joe Rogan Experience	The Axe Files with David Axelrod	33487365
136	The Joe Rogan Experience	Politically Re-Active with W. Kamau Bell & Hari Kondabolu	0
137	The Joe Rogan Experience	The James Altucher Show	3219107570
138	The Joe Rogan Experience	Bulletproof Radio	622789220
139	The Joe Rogan Experience	Revolution Health Radio	97024741
140	The Joe Rogan Experience	UFC Unfiltered with Jim Norton and Matt Serra	4724059382
141	The Joe Rogan Experience	10% Happier with Dan Harris	675387660
142	The Joe Rogan Experience	Oprah’s SuperSoul Conversations	32879880
143	The Duncan Trussell Family Hour	Bertcast's podcast	8561193335
144	The Duncan Trussell Family Hour	The Fighter & The Kid	3673896775
145	The Duncan Trussell Family Hour	Ari Shaffir's Skeptic Tank	10165982695
146	The Duncan Trussell Family Hour	Under The Skin with Russell Brand	90284082
147	The Duncan Trussell Family Hour	Pointless: with Kevin Pereira	266707212
148	The Duncan Trussell Family Hour	ID10T with Chris Hardwick	3118124090
149	The Duncan Trussell Family Hour	Waking Up with Sam Harris	114096276
150	The Duncan Trussell Family Hour	Kill Tony	5248187932
151	The Duncan Trussell Family Hour	The Rubin Report	299157501
152	The Duncan Trussell Family Hour	Comedy Bang Bang	2545265933
153	The Duncan Trussell Family Hour	H3 Podcast	130624893
154	The Duncan Trussell Family Hour	WTF with Marc Maron Podcast	287555766
155	The Duncan Trussell Family Hour	The Church of What's Happening Now: With Joey Coco Diaz	7612540960
156	The Duncan Trussell Family Hour	Your Mom's House with Christina P. and Tom Segura	3173360336
157	The Duncan Trussell Family Hour	Harmontown	261911352
158	The Duncan Trussell Family Hour	Freedomain Radio with Stefan Molyneux	122751212
159	The Duncan Trussell Family Hour	Econtalk	36435798
160	The Duncan Trussell Family Hour	Real Time with Bill Maher	21571260
161	The Duncan Trussell Family Hour	You Made It Weird with Pete Holmes	7481075247
162	The Duncan Trussell Family Hour	Anna Faris Is Unqualified	117075032
163	The Duncan Trussell Family Hour	Armchair Expert with Dax Shepard	0
164	The Duncan Trussell Family Hour	Fitzdog Radio	560334579
165	The Duncan Trussell Family Hour	Tin Foil Hat With Sam Tripoli	582583548
166	The Duncan Trussell Family Hour	Alison Rosen Is Your New Best Friend	3094291085
167	The Duncan Trussell Family Hour	Tangentially Speaking with Christopher Ryan	5814601060
168	The Duncan Trussell Family Hour	How Did This Get Made?	278874100
169	The Duncan Trussell Family Hour	The Todd Glass Show	5027973660
170	The Duncan Trussell Family Hour	Dumb People Town	919461454
171	The Duncan Trussell Family Hour	Doug Loves Movies	1403519358
172	The Duncan Trussell Family Hour	Getting Doug with High	3082009219
173	The Duncan Trussell Family Hour	Who Charted?	4029101391
174	The Duncan Trussell Family Hour	The Indoor Kids with Kumail Nanjiani and Emily V. Gordon	1653394231
175	The Duncan Trussell Family Hour	Comedy Film Nerds	189329300
176	The Duncan Trussell Family Hour	The Champs with Neal Brennan + Moshe Kasher	74610517
177	The Duncan Trussell Family Hour	Julian Loves Music	994286260
178	The Duncan Trussell Family Hour	Canceled	0
179	The Duncan Trussell Family Hour	Stand By Your Band	0
180	The Duncan Trussell Family Hour	Truth & Iliza	734071064
181	The Duncan Trussell Family Hour	Race Wars	525886644
182	The Duncan Trussell Family Hour	The Todd Barry Podcast	1453732475
183	The Duncan Trussell Family Hour	My Dumb Friends	673334072
184	The Duncan Trussell Family Hour	Pleasure Monkey Podcast	321483906
185	The Duncan Trussell Family Hour	Louder With Crowder	577567422
186	The Duncan Trussell Family Hour	Doughboys	112242438
187	The Duncan Trussell Family Hour	The Bill Simmons Podcast	225778309
188	The Duncan Trussell Family Hour	Legion of Skanks Podcast	353587120
189	The Duncan Trussell Family Hour	Punch Drunk Sports	539621806
190	The Duncan Trussell Family Hour	Hannibal Buress: Handsome Rambler	0
191	The Duncan Trussell Family Hour	Pirate Life Radio with Tait Fletcher	893625747
192	The Duncan Trussell Family Hour	Hear Me This Book	720297081
193	The Duncan Trussell Family Hour	The Jim Rome Podcast	0
194	The Duncan Trussell Family Hour	View from the Cheap Seats with the Sklar Brothers	764863567
195	The Duncan Trussell Family Hour	All Things Comedy Live	632295918
196	The Duncan Trussell Family Hour	Dom Irrera Live from the Laugh Factory	302453081
197	The Duncan Trussell Family Hour	Aubrey Marcus Podcast	1274141446
198	The Duncan Trussell Family Hour	Happy Sad Confused	24958720
199	The Duncan Trussell Family Hour	Off Camera with Sam Jones	147981230
200	The Duncan Trussell Family Hour	Maltin on Movies	17844220
201	The Duncan Trussell Family Hour	How I Built This with Guy Raz	0
202	The Duncan Trussell Family Hour	Modern Love	6629224
203	The Duncan Trussell Family Hour	The School of Greatness	68742721
204	The Duncan Trussell Family Hour	The Ringer NBA Show	0
205	The Duncan Trussell Family Hour	The Mike Lupica Show	0
206	The Duncan Trussell Family Hour	Ask Me Another	0
207	The Duncan Trussell Family Hour	Dear Sugars	0
208	The Duncan Trussell Family Hour	The Bugle	15627150
209	The Duncan Trussell Family Hour	The Daily Zeitgeist	240032111
210	The Duncan Trussell Family Hour	SModcast	1061150910
211	The Duncan Trussell Family Hour	I AM RAPAPORT: STEREO PODCAST	237049869
212	The Duncan Trussell Family Hour	Never Not Funny: The Jimmy Pardo Podcast	95122840
213	The Duncan Trussell Family Hour	The CrabFeast with Ryan Sickler and Jay Larson	3551352269
214	The Duncan Trussell Family Hour	improv4humans with Matt Besser	34858192
215	The Duncan Trussell Family Hour	Gilbert Gottfried's Amazing Colossal Podcast	0
216	The Duncan Trussell Family Hour	Jordan, Jesse GO!	603562178
