	Joe Rogan	Pete Holmes	Chris Hardwick	Bert Kreischer	Ari Shaffir	Alison Rosen	Duncan Trussell	Doug Benson	Jesse Thorn	Moshe Kasher	dates
0	0.0030581039755351682	0	0	0	0	0	0	0	0.00978593272171254	0	2010-01-01
1	0.008645533141210375	0	0	0	0.005187319884726225	0	0.005763688760806916	0	0.009221902017291067	0	2010-02-01
2	0.01092896174863388	0	0.013387978142076502	0	0.00624512099921936	0	0.013387978142076502	0	0.008743169398907104	0	2010-03-01
3	0.012919896640826873	0	0.039082687338501294	0	0.00717772035601493	0	0.029084790577489337	0	0.029084790577489337	0	2010-04-01
4	0.01240694789081886	0	0.1376597658679128	0	0.0068927488282327	0	0.10268269287062097	0	0.1224635579474289	0	2010-05-01
5	0.011876484560570071	0	0.1409621625238366	0	0.0065980469780944845	0	0.10461651783127943	0	0.12432687626325961	0	2010-06-01
6	0.09198964686017706	0	0.15574865052944384	0	0.0752052455681488	0	0.1151290179067957	0.11303576303576303	0.13638684388227348	0	2010-07-01
7	0.09634387351778656	0	0.16272252653200958	0	0.07857703752686394	0	0.1241186839012926	0.1177536231884058	0.14476890276402954	0	2010-08-01
8	0.10588270326730316	0	0.18296206579905638	0	0.08557903077697798	0	0.13338854517752435	0.13413791902683628	0.15631129025713164	0	2010-09-01
9	0.11376635454756823	0	0.18961059091261373	0	0.09122773713720093	0	0.1441348800839787	0.13996255460786353	0.1619049337929624	0	2010-10-01
10	0.11736478658882857	0	0.1939155292557517	0	0.09391074382168152	0	0.14808542958412552	0.14405838452744965	0.16601600154231733	0.12764866712235132	2010-11-01
11	0.17916945224406114	0	0.27802156382699145	0	0.14369035278979161	0	0.22854686034281815	0.20791870532620274	0.22500349816696047	0.16519892580272	2010-12-01
12	0.18247403856647557	0	0.28148310023310025	0	0.1460142883053546	0	0.23206240324560937	0.2111123251748252	0.2275462187513086	0.1666676251380199	2011-01-01
13	0.18625703400789903	0	0.28556118211290626	0.1487654062504362	0.1487654062504362	0	0.23626166566912724	0.21502642940725497	0.23069264069264067	0.16847662857052528	2011-02-01
14	0.19952537858414163	0	0.2876363300816569	0.15714830702644783	0.15714830702644783	0	0.2389500107548042	0.2178162783639661	0.2320477408430423	0.17222941050831214	2011-03-01
15	0.2035180313433542	0	0.2873492799860261	0.15943335452184745	0.15943335452184745	0	0.23893072868164072	0.21740004975163055	0.23876651512240935	0.1717277703920443	2011-04-01
16	0.20402641919571943	0	0.2899236686566278	0.1596180197857902	0.1596180197857902	0	0.23990365946570327	0.21897929425488483	0.23958569570232924	0.17093844672095262	2011-05-01
17	0.20408252238224991	0	0.291887317670638	0.15962976494945805	0.15962976494945805	0	0.24036677058499906	0.21912898102482656	0.24052114872924119	0.17115696004178638	2011-06-01
18	0.20770732969861894	0	0.29647916060066226	0.16221523443321537	0.16221523443321537	0	0.24412689246485758	0.22286244594925347	0.2444297794282135	0.17342464984079234	2011-07-01
19	0.2092735754199153	0.132368580186417	0.2989404285377914	0.16329680506250965	0.16329680506250965	0	0.2465673612864384	0.2247795757940583	0.24641900547339002	0.17375833139447355	2011-08-01
20	0.21114936360613118	0.1575534638724086	0.30168407677244713	0.16463856628740256	0.16463856628740256	0	0.2489980391574319	0.22737452523060228	0.24957342457431794	0.17734466253618403	2011-09-01
21	0.21645848345395613	0.16134348766693557	0.3077656547845005	0.1682079196876743	0.16845294214898188	0	0.2538813277393547	0.23244813022166044	0.25472014269884596	0.18062154593561275	2011-10-01
22	0.23636017670733525	0.19020972602391156	0.3091208632158512	0.1801212543673947	0.1820659737928059	0	0.25779083057853275	0.233873364709458	0.25684307017199404	0.22567106857751576	2011-11-01
23	0.24257916053019146	0.22791726628659986	0.3137357142857143	0.18674744897959183	0.2074971655328798	0	0.26308339189879887	0.24069331599251811	0.2628482860972807	0.23483212147134302	2011-12-01
24	0.24620696195254915	0.2317779189301075	0.31527410163247716	0.18918355114610044	0.21879316156707623	0	0.2663568923425276	0.2461099919005789	0.2655645003976072	0.24630400844918002	2012-01-01
25	0.2621177968015438	0.2347688262496438	0.3206514478013009	0.19865602439631566	0.23185915595264037	0	0.26845848971310227	0.24877289377289377	0.26714412746236493	0.26889948928552626	2012-02-01
26	0.26506304743469666	0.24449460168923742	0.32192354397177453	0.20066876818759313	0.23468844813311365	0.20413973192933105	0.2710473435620662	0.2522900817430972	0.26905742875229843	0.27274603431686184	2012-03-01
27	0.2663979332015061	0.2502305850563073	0.3289674163918195	0.2194755699671499	0.2545703454631111	0.21236293575525156	0.27842424353951034	0.2551012533785712	0.2713221094159517	0.27487876628095476	2012-04-01
28	0.2686464635203844	0.2518117576929197	0.3281019550171605	0.22009029960361273	0.2550929666972711	0.2136243003147545	0.2791565811060082	0.25629179232122606	0.2710306174387407	0.27533113931660025	2012-05-01
29	0.26954783098755997	0.26310137457044674	0.33122678067158606	0.22233519554107276	0.25639711331663173	0.22931792958669286	0.288794508453945	0.2600333787119196	0.2753958313260751	0.2785570258787714	2012-06-01
30	0.2774834453913901	0.2674037405302799	0.3329801344696681	0.22728294455380513	0.2635271774279178	0.23317326170323618	0.2935800460469223	0.26485931005244195	0.2789608079255754	0.28276884435122607	2012-07-01
31	0.28083525549619903	0.27119040833774377	0.3364392283889302	0.23230525708041586	0.2689395434717464	0.23735154455425161	0.3019520452732269	0.2684785042543663	0.28201523556130914	0.28639889207262487	2012-08-01
