	Cameron Esposito	Rhea Butcher	Chris Hardwick	Pete Holmes	Jesse Thorn	Jay Larson	Ryan Sickler	Jordan Morris	Alison Rosen	Joe Rogan	dates
0	0	0	0	0	8.100515504415127e-170	0	0	8.100515504415127e-170	0	2.4228908762380172e-268	2010-01-01
1	0	0	0	0	3.709471052442196e-156	0	0	3.709471052442196e-156	0	1.786045344434015e-190	2010-02-01
2	0	0	1.216973771286208e-177	0	4.936632101225515e-146	0	0	4.936632101225515e-146	0	2.132000482884025e-164	2010-03-01
3	0	0	5.6353629237833174e-132	0	2.14945764192594e-117	0	0	2.14945764192594e-117	0	8.437598078128052e-160	2010-04-01
4	0	0	1.7485762598710117e-29	0	0.007460999531839139	0	0	0.007460999531839139	0	1.1952254560715812e-138	2010-05-01
5	0	0	2.6227058099348892e-28	0	0.007573992306106611	0	0	0.007573992306106611	0	4.97048457287779e-149	2010-06-01
6	0	0	0.00024073158584533792	0	0.008064252618562922	0	0	0.008064252618562922	0	1.6262043921559788e-06	2010-07-01
7	0	0	0.00026099061441988347	0	0.008476095273418147	0	0	0.008476095273418147	0	1.7871844969796064e-06	2010-08-01
8	0	0	0.00814304402859143	0	0.008992386741148457	0	0	0.008992386741148457	0	0.00011074924038310876	2010-09-01
9	0	0	0.008094662374257211	0	0.00906366787498156	0	0	0.00906366787498156	0	0.00010934748873560297	2010-10-01
10	0	0	0.007863142910075813	0	0.008970264119989928	0	0	0.008970264119989928	0	0.00010208358362894161	2010-11-01
11	0	0	0.00774585396573738	0	0.008914084221412606	0	0	0.008914084221412606	0	9.926411931361813e-05	2010-12-01
12	0	0	0.007821045472388684	0	0.00933081067065211	0	0	0.00933081067065211	0	0.0001532496418597081	2011-01-01
13	0	0	0.007963435006290803	0	0.009400478081873017	0	0	0.009400478081873017	0	0.00015706611456620277	2011-02-01
14	0	0	0.008312087222876935	0	0.00952266299719438	0	0	0.00952266299719438	0	0.0066508900173198665	2011-03-01
15	0	0	0.008633407841418878	0	0.010038047046620584	0	0	0.010038047046620584	0	0.0067817631292806935	2011-04-01
16	0	0	0.00960814294986183	0	0.01027654346285282	0	0	0.01027654346285282	0	0.007048493103764819	2011-05-01
