	Pete Holmes	Nick Thune	Moshe Kasher	Jen Kirkman	Kurt Braunohler	Kumail Nanjiani	Eddie Pepitone	Jonah Ray	Ari Shaffir	Jackie Kashian	dates
0	0	0	0	2.5314110943887866e-171	0	0	0	0	0	0	2010-01-01
1	0	1.4973484812206474e-212	0	1.107304791487545e-157	0	0	0	0	2.665739319361659e-192	0	2010-02-01
2	0	3.045714974881191e-166	0	1.410466314326782e-147	0	0	0	0	3.045714974881191e-166	0	2010-03-01
3	0	9.452382987357083e-120	0	5.970715670587339e-119	0	0	0	0	1.1718886216817273e-161	0	2010-04-01
4	0	1.3623116657357332e-06	0	0.00019893878017714022	0	0	0	0	1.5934640744370546e-140	0	2010-05-01
5	0	1.382936423147311e-06	0	0.00020195126408297412	0	0	0	0	6.626595341193246e-151	0	2010-06-01
6	0	1.4055676751350286e-06	0	0.00020947568301875777	0	0	0	0	2.1121007233258193e-08	0	2010-07-01
7	0	3.0262063803628856e-06	0	0.00022473587381353365	0	0	0	0	2.3216786114916887e-08	0	2010-08-01
8	0	3.0859900653956953e-06	0	0.0002342086085573022	0	0	0	0	1.4092806701950128e-06	0	2010-09-01
9	0	2.898940222810593e-06	0	0.00022726852334304152	0	0	0	0	1.3404940232854301e-06	0	2010-10-01
10	0	2.537863664508655e-06	0.01124065396669084	0.00021164240320534306	0	0	0.01124065396669084	0	1.1792167156168084e-06	0	2010-11-01
11	0	0.0002687219208266558	0.01085322387056293	0.0002708653098558163	0	0	0.01085322387056293	0	1.11380926001595e-06	0	2010-12-01
12	0	0.00033898361167130145	0.010711140527986825	0.000341544072165597	0	0	0.010711140527986825	0	1.7087593936715424e-06	0.00020808023027738567	2011-01-01
13	0	0.00033019282379517296	0.010477307220666605	0.0003326833729448203	0	0	0.010477307220666605	0	1.713187772685919e-06	0.00020507012797440444	2011-02-01
14	0	0.0003281443479946011	0.010322816185565324	0.00033185572586759036	0	0	0.010322816185565324	0	7.200159124373388e-05	0.00020618199576005527	2011-03-01
15	0	0.00033571507450262265	0.010194522880106843	0.0003400826725202254	0	1.004481029021982e-06	0.010194522880106843	0	7.264029847437206e-05	0.00021503751153386234	2011-04-01
16	0	0.0003404239843613872	0.010164448122225275	0.0003456167662311597	0	1.1732432827231793e-06	0.010164448122225275	0	7.54278593224563e-05	0.00021994422445363398	2011-05-01
17	0	0.00031918672348718873	0.009755258520783558	0.00032389986681093997	0	2.12435411106099e-06	0.009755258520783558	0	6.98782573770725e-05	0.00020690163197152275	2011-06-01
18	0	0.0003081769279498595	0.009459356122812268	0.00031265415252857543	0	2.061730206853592e-06	0.009459356122812268	0.00020272144488496085	6.811095174733754e-05	0.00020272144488496085	2011-07-01
19	1.049159498511938e-06	0.00031729087025271854	0.009393085921477971	0.0003220635570103767	0	2.297236691915972e-06	0.009393085921477971	0.00021228568735388075	0.00013258976813872032	0.00021228568735388075	2011-08-01
20	0.0001959716225709178	0.00033250971315663014	0.00945113537430647	0.0003374569773302321	0	0.00022969673336321523	0.009255163751735553	0.00022509482427728416	0.00013250548634566867	0.00022509482427728416	2011-09-01
21	0.00019773359273974407	0.0003508070402282346	0.00907963676709758	0.0003603554090706984	0	0.00025273469850701136	0.008970513789260337	0.0002456703708383124	0.00013965031853230565	0.0002456703708383124	2011-10-01
22	0.00019922884278421733	0.00036583152043884106	0.008862881786274136	0.0003785974308328275	0	0.0002734579282303997	0.008750938277414558	0.0002636145831309651	0.00013571909659860118	0.0002636145831309651	2011-11-01
23	0.00019815794081617848	0.0004900049927949167	0.008646132240940503	0.0003676248463487593	0	0.0003091691967450114	0.00848636351177513	0.00025694396448576375	0.0001345694061762771	0.00025694396448576375	2011-12-01
24	0.00019936008360248256	0.0005190924289520758	0.00835852847992773	0.0003951438927119245	0	0.0003379213642547227	0.008145425693771097	0.00027985020682238165	0.0001419628555779107	0.00027985020682238165	2012-01-01
25	0.0002224176601992147	0.0008139120670712755	0.008105151516319836	0.0006284262708387973	0	0.0005720577716978014	0.008396793968175865	0.0006270859217559447	0.00015054632761031945	0.0004943686276477342	2012-02-01
26	0.0002326717669790143	0.0010360289908221405	0.0077810484615742454	0.0009794760360430316	0	0.0007866909294022847	0.008212490928101987	0.0008259343065849994	0.00015545115617979831	0.0006523845845525505	2012-03-01
27	0.00036177080455530007	0.0011355471584626937	0.007460996987996923	0.0010156229995661706	0	0.0008665072998117006	0.007847275634769649	0.0008426401204722073	0.00017220351995620356	0.0006736511446554643	2012-04-01
28	0.0003674776498858382	0.00137326026061914	0.007244418724362137	0.0010597572167342618	0	0.000925513434744126	0.007644765390464383	0.0008769130603990046	0.00017947840835119122	0.0007034585918127542	2012-05-01
29	0.00045104119215538075	0.0015300103465943665	0.006890842863444505	0.0011860249883369773	0.00022321317645261315	0.0010175400379798115	0.007456085898287371	0.0011954746110190051	0.000203782603434534	0.0007650308741481439	2012-06-01
30	0.0004592871373404952	0.0016951501710402665	0.006332778367166377	0.0013482201363782848	0.00023601967714364751	0.0011863855662791098	0.007025390372119319	0.0013435520692651741	0.00021202435194919958	0.000912851348371667	2012-07-01
31	0.0004924329063258853	0.002079552331285688	0.005655933338213863	0.001612972277626921	0.00032335893052048585	0.0014653693626949737	0.006452943960736349	0.001556321463961605	0.00022464319706560896	0.0010893329834551636	2012-08-01
32	0.0005441424769600476	0.0021770604371326103	0.005018077560655808	0.0016688990382154525	0.00034554608121120466	0.0015292019468257135	0.005802997665812885	0.0016019017312869966	0.0002653462575167892	0.0011203023002313943	2012-09-01
