	names	dates
0	Joe Rogan	2009-12-24 05:00:00
1	Duncan Trussell	2010-01-10 23:27:00
2	Ari Shaffir	2014-12-17 00:39:22
3	Chris Hardwick	2010-02-08 17:09:00
4	Jesse Thorn	2016-05-24 00:49:51
5	Alison Rosen	2012-02-13 08:10:10
6	Joey Diaz	2014-03-23 18:00:53
7	Jordan Morris	2007-02-12 18:08:00
8	Bert Kreischer	2012-12-05 19:52:03
9	Pete Holmes	2011-10-25 22:22:00
