	Cameron Esposito	Rhea Butcher	Chris Hardwick	Pete Holmes	Jesse Thorn	Ryan Sickler	Jay Larson	Jordan Morris	Randy Sklar	Jason Sklar	dates
0	0	0	0	0	8.100515504415108e-170	0	0	8.100515504415108e-170	0	0	2010-01-01
1	0	0	0	0	3.7094710524421876e-156	0	0	3.7094710524421876e-156	0	0	2010-02-01
2	0	0	1.2169737712862089e-177	0	4.936632101225519e-146	0	0	4.936632101225519e-146	0	0	2010-03-01
3	0	0	5.635362923783306e-132	0	2.1494576419259338e-117	0	0	2.1494576419259338e-117	0	0	2010-04-01
4	0	0	3.9081174190219624e-36	0	0.0074609995318391424	0	0	0.0074609995318391424	0.0	0.0	2010-05-01
5	0	0	6.563221779120581e-35	0	0.007573992306106613	0	0	0.007573992306106613	0.0	0.0	2010-06-01
6	0	0	0.00024072348620504268	0	0.00806426159546309	0	0	0.00806426159546309	0.0	0.0	2010-07-01
7	0	0	0.00026095381607416063	0	0.008476115581383841	0	0	0.008476115581383841	0.0	0.0	2010-08-01
8	0	0	0.008142509672233606	0	0.00899298953279135	0	0	0.00899298953279135	0.0	0.0	2010-09-01
9	0	0	0.008094225062444636	0	0.009064178477016821	0	0	0.009064178477016821	4.994772714727246e-05	4.994772714727246e-05	2010-10-01
10	0	0	0.007862812034172294	0	0.008970665757086257	0	0	0.008970665757086257	4.569993277163895e-05	4.569993277163895e-05	2010-11-01
11	0	0	0.007745546780819743	0	0.00891446085644467	0	0	0.00891446085644467	4.3498293056555696e-05	4.3498293056555696e-05	2010-12-01
12	0	0	0.007820689463253785	0	0.009331265637131466	0	0	0.009331265637131466	4.342318114584539e-05	4.342318114584539e-05	2011-01-01
13	0	0	0.007963036319234645	0	0.009400993519033566	0	0	0.009400993519033566	4.325304303774221e-05	4.325304303774221e-05	2011-02-01
14	0	0	0.0083116650236569	0	0.009523206587321791	0	0	0.009523206587321791	4.514299780086978e-05	4.514299780086978e-05	2011-03-01
15	0	0	0.008632895817015845	0	0.01003855500958776	0	0	0.01003855500958776	4.688683518008199e-05	4.688683518008199e-05	2011-04-01
16	0	0	0.009607441384020757	0	0.010277186728546134	0	0	0.010277186728546134	5.481397085008656e-05	5.481397085008656e-05	2011-05-01
17	0	0	0.0097128541220607	0	0.010081885443675867	0	0	0.010081885443675867	0.00010350116935837235	0.00010350116935837235	2011-06-01
18	0	0	0.010035212321300519	0	0.01018520253022764	0	0	0.01018520253022764	0.00010357339100196204	0.00010357339100196204	2011-07-01
19	0	0	0.01117042369155754	0.0	0.010642676498223907	0	0	0.010642676498223907	0.00011515022240815417	0.00011515022240815417	2011-08-01
20	0	0	0.011425281311689139	0.0	0.011141026689441192	0	0	0.011141026689441192	0.00022776057975729987	0.00022776057975729987	2011-09-01
21	0	0	0.023362006357213895	0.0	0.012506718257228462	0	0	0.012506718257228462	0.0003556097495083994	0.0003556097495083994	2011-10-01
22	0	0	0.024390404247389457	0.00024481787782648374	0.01367223619451398	0	0	0.01367223619451398	0.0003830997940576504	0.0003830997940576504	2011-11-01
23	0	0	0.02483593364325391	0.004633686806683219	0.013636934852885146	0	0	0.013636934852885146	0.00039630747677712796	0.00039630747677712796	2011-12-01
24	0	0	0.03537357548894814	0.005107185548725207	0.015053366576742293	0	0	0.015053366576742293	0.0005107189399602544	0.0005107189399602544	2012-01-01
25	0	0	0.04113210501906376	0.006735612491737342	0.02601991233861114	0	0	0.02601991233861114	0.0006829818650611289	0.0006829818650611289	2012-02-01
26	0	0	0.045702412981288756	0.01241017098690088	0.034355079165176806	0	0	0.034355079165176806	0.0008252105330384206	0.0008252105330384206	2012-03-01
27	0	0	0.057119851869707715	0.018416837442189735	0.035828076972053854	0	0	0.035828076972053854	0.0009831805480801847	0.0009831805480801847	2012-04-01
28	0	0	0.061068724755281224	0.020896357796305356	0.037496529420823495	0	0	0.037496529420823495	0.001320460724102482	0.001320460724102482	2012-05-01
29	0	0	0.07431223687704189	0.02370815924453595	0.04086114667197428	1.966202794925416e-217	1.966202794925416e-217	0.04086114667197428	0.0015603248223048114	0.0015603248223048114	2012-06-01
30	0	0	0.08945670457012175	0.025540761215834408	0.049578354564242096	0.00020025410952228685	0.00020025410952228685	0.049578354564242096	0.0020342248864713237	0.0020342248864713237	2012-07-01
31	0	0	0.10474944185608251	0.03538488693384363	0.05980069030533184	0.0005954831451975928	0.0005954831451975928	0.05980069030533184	0.00288857785653104	0.00288857785653104	2012-08-01
32	0	0	0.13274694975863305	0.038589989145411806	0.06275688355626517	0.0016986631155676052	0.0016986631155676052	0.06275688355626517	0.003542840095077967	0.003542840095077967	2012-09-01
33	0	0	0.17114712260338802	0.046796809513806124	0.06604683901116015	0.0025718645166611944	0.0025718645166611944	0.06604683901116015	0.004269289688716272	0.004269289688716272	2012-10-01
34	0	0	0.1786064368043363	0.053031111733707045	0.07178525179039467	0.004643515654426702	0.004643515654426702	0.07178525179039467	0.004542154430981791	0.004542154430981791	2012-11-01
35	0	0	0.21394512072411204	0.06079029500056188	0.07823656037363937	0.005605414915503088	0.005605414915503088	0.07823656037363937	0.005166042429837167	0.005166042429837167	2012-12-01
36	0	0	0.2201826633602719	0.06711988687008312	0.07993877805005827	0.009399788252510028	0.009399788252510028	0.07993877805005827	0.0051718598204568405	0.0051718598204568405	2013-01-01
37	0.009036155317863448	0.009036155317863448	0.2317089714954801	0.07229271765997311	0.07783953038509031	0.009111489139745873	0.009111489139745873	0.07783953038509031	0.005213021169163167	0.005213021169163167	2013-02-01
