	pr	hub	auth	eccentricity	closeness	betweenness	degree_cen	eigen
Josh Fadem	0.00010845707624969973	0.0006448477736867425	0.0	4	0.3778966131907308	0.000206865340180094	0.006485849056603773	0.014541740528285026
Seth Green	0.00010845707624969973	8.8045242066224e-06	0.0	4	0.3831036819516603	0.00014385134475661306	0.007075471698113208	0.012015540498268843
Tom Haberstroh	0.00010845707624969973	0.0006358744856412047	0.0008568509604524534	5	0.33524411939118404	6.419540744495206e-06	0.0029481132075471696	0.00015141512664143
Luis J. Gomez	0.0006482593591232993	0.00026343156801319204	0.0	5	0.3461224489795918	7.869224164124458e-06	0.0023584905660377358	0.01827892461088498
Carol Kane	0.00010845707624969973	0.0002115587862303635	0.0	6	0.2248442264351054	1.9743403446859783e-07	0.004127358490566038	0.0038928661178988144
Jon Jones	0.00010845707624969973	0.0008176596321181795	0.0	5	0.3470431757724575	0.0003256481583890036	0.006485849056603773	0.0045193428491043545
Katie Crown	0.00010845707624969973	0.00046244944892016534	0.0	5	0.3184976525821596	9.667986427997303e-05	0.001768867924528302	0.011500764406695181
Ted Alexandro	0.00010845707624969973	0.0005258659356644329	0.0	5	0.3231707317073171	1.1595332183076382e-08	0.001768867924528302	0.008171235055667206
Barry Katz	0.00010845707624969973	0.00025325077402460684	0.0	5	0.3167725065371685	2.3829942291963347e-07	0.0023584905660377358	0.011297646026156669
George Saunders	0.00010845707624969973	0.0003693735183814664	0.0	5	0.32304761904761903	3.5117596208940433e-06	0.0023584905660377358	0.0038299421227376007
Eddie Brill	0.00010845707624969973	0.0009608807835811251	0.0	5	0.3322884012539185	5.134661512794884e-06	0.0029481132075471696	0.0070872544244480725
Sara Watkins	0.00010845707624969973	0.0006950923824140797	0.0	4	0.32490421455938695	0.0008827017360303838	0.0023584905660377358	0.015347007812259101
Kirk Fox	0.00010845707624969973	0.0007221353782534058	0.0	5	0.3250287466462246	8.089766639355614e-09	0.001768867924528302	0.01459400744496286
Amanda Seales	0.00010845707624969973	0.0027599590353555503	0.0073213965495095585	4	0.36410476599398883	3.309725333103317e-07	0.0023584905660377358	0.010202987548264947
Al Madrigal	0.0020407699499218057	0.0009970684258525234	0.0	4	0.3520863608054806	1.7905103985815973e-05	0.004127358490566038	0.08831783865739856
Lizz Winstead	0.00010845707624969973	0.0002564271781418799	0.0	5	0.3292564550572704	1.8692236586897222e-05	0.001768867924528302	0.015662648175130932
Danish	0.00010845707624969973	0.0002564271781418799	0.0	4	0.4228371977063077	0.004488498377998451	0.0330188679245283	0.0056394552475617
Mike Ricca	0.00010845707624969973	0.00018974598809279975	0.0	5	0.3516483516483517	2.9874251018325923e-05	0.0029481132075471696	0.0056394552475617
David Choe	0.00010845707624969973	8.8045242066224e-06	0.0	5	0.3158875023281803	1.458414581442079e-07	0.001768867924528302	0.0036484407359940246
the Denver Nuggets' Mike Miller	0.00010845707624969973	0.002108785310972689	0.0	5	0.3158875023281803	1.458414581442079e-07	0.001768867924528302	0.00015141512664143
April Richardson	0.00010845707624969973	0.003083086537625148	0.0	5	0.320362674726105	4.6381328732305526e-08	0.001768867924528302	0.03404653326328513
Myq Kaplan	0.00010845707624969973	7.220174452137219e-05	0.003057548383742406	6	0.2248442264351054	1.9743403446859783e-07	0.004127358490566038	0.0069991574212979945
Mark McConville	0.0007611955928294017	0.0012290214149922075	0.0	5	0.3699825479930192	7.110404140155488e-05	0.006485849056603773	0.015046812333210272
Jon Daly	0.00010845707624969973	0.0034299428088655796	0.020516294825797324	5	0.32571538313808335	2.9880214899330038e-06	0.001768867924528302	0.005002519948766305
Ari Shaffir	0.030633570580141187	0.00024825396131190956	0.0	5	0.3245933014354067	0.0004621508430201271	0.01945754716981132	0.026523347342349093
Jordan Brady	0.00010845707624969973	2.040051587875897e-05	0.0	5	0.3747238179407866	0.0025064054609672108	0.012382075471698112	0.14071114422418957
Steve Case	0.00010845707624969973	0.001647827665016832	0.0	4	0.4562819478073715	0.056660792369129194	0.10318396226415094	0.006344520962148295
DC Pierson	0.00010845707624969973	7.418028252231485e-05	0.0	5	0.31801987624226513	8.278704789897245e-06	0.0023584905660377358	0.00031733362914934335
Susan Sarandon	0.00010845707624969973	9.387404842507365e-05	0.0	5	0.2650414127207376	5.435150738111104e-05	0.001768867924528302	0.02639377653952893
Charlotte Newhouse	0.00010845707624969973	0.00024451222580715813	0.0	4	0.3747238179407866	0.00015119301484553904	0.005896226415094339	0.02093906998350244
Shea Serrano	0.00010845707624969973	0.0010226773876215514	0.0	4	0.37439293598233997	5.183762013900313e-06	0.004127358490566038	0.0012575187363841743
Jay Chandrasekhar	0.00010845707624969973	0.0007075056177249379	0.0	5	0.28470706731576295	0.0001617201968579096	0.0023584905660377358	0.002377533998568095
John Mulaney	0.00010845707624969973	0.000421100582282926	0.0	5	0.29948790393784214	9.768422329916068e-06	0.001768867924528302	0.0036804844152114047
Sinbad	0.00010845707624969973	0.0009146495558662411	0.0	5	0.3205443205443205	0.01079142605123229	0.0047169811320754715	0.0206098117252005
Matt Dwyer	0.00010845707624969973	0.0009032754487565455	0.0	5	0.35939817757999576	0.00011978624314791542	0.0047169811320754715	0.011239804188102376
Joe Bartnick	0.00010845707624969973	0.0	0.00017769450336123848	4	0.3627031650983747	0.0002293775163905689	0.0029481132075471696	0.009006170845189001
Elliott Wilson	0.0009223480590832546	0.0016109600191219692	0.003939895811188019	5	0.3408360128617363	1.6968778804502023e-08	0.001768867924528302	0.013937077724164406
Steve Rannazzisi	0.001232339666604815	0.0002479936721142498	0.0	5	0.3369090186730234	2.653525066185719e-05	0.0023584905660377358	0.01831115861653505
Faizon Love	0.00010845707624969973	0.0001615877342064038	0.0	5	0.3344507986590416	3.614964915369076e-08	0.004127358490566038	0.0007739481120731615
Jeffrey Gurian	0.00010845707624969973	8.8045242066224e-06	0.0	5	0.29603770291499387	0.00023805702918172633	0.004127358490566038	0.04169568858362601
Houston Rockets forward Corey Brewer	0.00010845707624969973	0.0007029546747811148	0.0	5	0.2858587561098938	0.0033312371545597395	0.015919811320754717	0.006896078366357704
Neel Nanda	0.00010845707624969973	0.0008176796814909279	0.0	5	0.37497236347556934	0.0019986963736047915	0.020636792452830188	0.0033066148084102344
Justin Willman	0.00010845707624969973	0.00041988148778649163	0.0	5	0.33034670821971174	8.484389402251012e-09	0.001768867924528302	0.00015141512664143
Richard Hunter	0.00010845707624969973	0.0019199372549008379	0.0	5	0.30118984194636833	5.228537611642213e-06	0.001768867924528302	0.009625932568662367
Mary Lynn Rajskub	0.00010845707624969973	0.00013525820224012672	0.0	6	0.2248442264351054	1.9743403446859783e-07	0.004127358490566038	0.014502438003607522
Scott Coker	0.00010845707624969973	0.00021756091637490423	0.0	5	0.3162998881014547	6.401391413398005e-06	0.001768867924528302	0.009262042548257918
Jake Johannsen	0.00010845707624969973	0.00028143976281500986	0.0	4	0.36363636363636365	0.0	0.0023584905660377358	0.03495502114018061
Will Ferrell	0.00010845707624969973	0.0003009741032133283	0.0	5	0.3206049149338374	6.7639588923336144e-06	0.0029481132075471696	0.0033671752351732143
Nikolaj Coster-Waldau	0.00010845707624969973	0.0007528920016086222	0.0	4	0.39114391143911437	0.0003262897708938391	0.008254716981132075	0.005939813054482368
Owen Smith	0.00010845707624969973	0.0027379278482787812	0.004716739243040957	5	0.29567642956764295	1.1095722261956705e-06	0.001768867924528302	0.004521052152668018
Graham Elwood	0.0011062184629037658	2.2808926972516137e-05	0.0	5	0.3202416918429003	8.801315061094558e-06	0.0023584905660377358	0.004658268417771495
Haralabos Voulgaris	0.00010845707624969973	0.0004380208761568356	0.0	4	0.34647599591419814	0.0005941330395991525	0.0023584905660377358	0.014396141227805722
Marques Ray	0.00010845707624969973	5.2358099693958197e-05	0.0	5	0.3332678325800747	4.578511603831748e-05	0.0023584905660377358	0.06328968764650239
Lou Wilson	0.00010845707624969973	0.00042937549396606604	0.0	4	0.34925864909390447	1.480521182138317e-05	0.0029481132075471696	0.00042380671227683337
Bob Costas	0.00010845707624969973	3.342572897749557e-05	0.0	4	0.40545063351661487	0.008846954639584497	0.0330188679245283	0.008118396307243576
David Frum	0.00010845707624969973	1.9396980537345826e-05	0.0	5	0.27079674277502797	1.9743403446859783e-07	0.0047169811320754715	0.0017210387945880237
Joseph Stiglitz	0.00010845707624969973	0.0	3.1578093502440425e-05	5	0.31553488372093025	4.934183907692077e-09	0.001768867924528302	0.007589732072061376
Steve Almond	0.0005681667464668825	0.0011722942830652485	0.0	6	0.28205554631631463	9.699837364374166e-07	0.001768867924528302	0.0007035223082307514
Erica Rhodes	0.00010845707624969973	0.0005792207029852204	0.0	5	0.32932038834951455	0.0011987054819432026	0.004127358490566038	0.003667948291142268
Aida Rodriguez	0.00010845707624969973	0.0022650750062779726	0.0	5	0.2820086464915198	4.067718030745968e-05	0.0023584905660377358	0.00015651103352277846
Alice Wetterlund	0.00010845707624969973	0.00019479477436312834	0.0	4	0.31606410734252705	0.0003242356553564576	0.001768867924528302	0.01776355898911107
Ben Greenfield	0.00010845707624969973	0.0010544560734776773	0.005784016657303645	5	0.2622139764996908	8.917957306619487e-05	0.0029481132075471696	0.009692499289942723
Brandt Tobler	0.0017765539995392339	0.002460201240146606	0.0	5	0.3406306487246435	3.013046614169697e-05	0.0029481132075471696	0.03783386205720244
Sara Schaefer	0.00010845707624969973	0.00014673728761950466	0.0	5	0.31612301957129546	3.7204274384202293e-09	0.001768867924528302	0.0039664277114335135
Blair Herter	0.00010845707624969973	4.5315498153009886e-05	0.0	4	0.37274725274725273	2.0163123063355476e-05	0.006485849056603773	0.03747795451317407
Joy Behar	0.00010845707624969973	0.0002512036733155467	0.0	5	0.32640492686682065	7.139735064031374e-06	0.0023584905660377358	0.040922729835080454
Eddie Izzard	0.00010845707624969973	0.0006888726971878528	0.0	5	0.34485563237088246	0.002225012617972863	0.02712264150943396	0.004631312384589782
Andrew W.K.	0.00010845707624969973	0.0008787447206653884	0.0	4	0.3917763917763918	0.00010617746001689928	0.0076650943396226415	0.0016446428074294852
Kristen Schaal	0.00010845707624969973	0.0002324194840145998	0.0	5	0.314423433444568	0.0	0.001768867924528302	0.004121769220958343
Robin Shorr	0.00010845707624969973	0.00025051373783259136	0.0	4	0.31331978570109	2.7869711272836008e-06	0.001768867924528302	0.011098777657797352
Rose McGowan	0.00010845707624969973	6.263137159990058e-05	0.0	5	0.34008421896932023	0.00014624622119033593	0.0023584905660377358	0.017854736972359595
Liam Neeson	0.00010845707624969973	0.00026420483168535837	0.0	4	0.3620064034151548	0.00018150708905012144	0.0029481132075471696	0.004393207883683279
Griffin Dunne	0.00010845707624969973	0.0010221860016540853	0.0	4	0.363013698630137	5.9306945351427264e-05	0.005896226415094339	0.003916866891769637
Mo Mandel	0.00010845707624969973	0.0038541403640836636	0.010717349685485371	5	0.3212729683652207	6.976835244114554e-06	0.001768867924528302	0.000972885527560066
Kurt Braunohler	0.004207482434798604	0.00037476759017705244	0.0	5	0.3331369082694952	5.013934949035108e-05	0.001768867924528302	0.003993618838838912
Anthony Atamanuik	0.00010845707624969973	0.0	0.00016237302318612283	5	0.27505676289328573	2.7866412882015893e-05	0.001768867924528302	0.021640038690606107
Kevin O’Connor	0.0012542069138911664	0.0026973831058594282	0.0	4	0.32830042586140146	0.00027223705898016167	0.001768867924528302	0.10255235495507857
Josh Gondelman	0.00010845707624969973	0.00044639975422516517	0.0	5	0.3021557099590237	1.1405244770239064e-08	0.001768867924528302	0.007039397024043833
Mike Pesca	0.00010845707624969973	0.00021928867238525958	0.0	4	0.42368223832125906	0.007025343187975543	0.04068396226415094	0.0009384384496336007
Mehran Khaghani	0.00010845707624969973	0.0019704887606990704	0.0	5	0.3420044363783021	2.0169803139620208e-05	0.0023584905660377358	0.044754193535901855
