	podcast	guests	podcast_id	duration
109	10% Happier with Dan Harris	Robin Roberts	141	2814
110	10% Happier with Dan Harris	Roshi Joan Halifax	141	4119
111	10% Happier with Dan Harris	RuPaul	141	2217
112	10% Happier with Dan Harris	Russell Simmons	141	1599
113	10% Happier with Dan Harris	Sadhguru Jaggi Vasudev	141	2738
114	10% Happier with Dan Harris	Sakyong Mipham Rinpoche	141	2139
115	10% Happier with Dan Harris	Sally Kohn	141	4585
116	10% Happier with Dan Harris	Sally Quinn	141	3821
117	10% Happier with Dan Harris	Sam Harris	141	5594
118	10% Happier with Dan Harris	Sebene Selassie	141	3677
119	10% Happier with Dan Harris	Sharon Salzberg	141	6344
120	10% Happier with Dan Harris	Shinzen Young	141	5660
121	10% Happier with Dan Harris	Shiza Shahid	141	2599
122	10% Happier with Dan Harris	Soren Gordhamer	141	3536
123	10% Happier with Dan Harris	Spring Washam	141	2686
124	10% Happier with Dan Harris	Steve Armstrong	141	4348
125	10% Happier with Dan Harris	Susan Kaiser Greenland	141	3338
126	10% Happier with Dan Harris	Sylvia Moir	141	2784
127	10% Happier with Dan Harris	The Minimalists	141	3645
128	10% Happier with Dan Harris	Thupten Jinpa	141	8856
129	10% Happier with Dan Harris	Tim Ferriss	141	3925
130	10% Happier with Dan Harris	Tom Bergeron	141	2293
131	10% Happier with Dan Harris	Tony Wright	141	1732
132	10% Happier with Dan Harris	Vince Horn	141	3363
133	10% Happier with Dan Harris	Virginia Heffernan: Writer	141	3828
134	10% Happier with Dan Harris	Vladimir Maletic	141	3831
135	10% Happier with Dan Harris	Weezer's Rivers Cuomo	141	3396
136	10% Happier with Dan Harris	Willoughby Britton	141	4608
137	10% Happier with Dan Harris	Yael Shy	141	4132
138	10% Happier with Dan Harris	the '10% Happier' Road Trip!	141	3224
139	Alison Rosen Is Your New Best Friend	A.J. Jacobs	25	9289
140	Alison Rosen Is Your New Best Friend	Adam Conover	25	5054
141	Alison Rosen Is Your New Best Friend	Adam Ray	25	5818
142	Alison Rosen Is Your New Best Friend	Aisha Tyler	25	5654
143	Alison Rosen Is Your New Best Friend	Alex Blagg	25	6469
144	Alison Rosen Is Your New Best Friend	Alex Buono	25	4253
145	Alison Rosen Is Your New Best Friend	Ali Rosen	25	5127
146	Alison Rosen Is Your New Best Friend	Alice Wetterlund	25	4656
147	Alison Rosen Is Your New Best Friend	Alicia Witt	25	4858
148	Alison Rosen Is Your New Best Friend	Alie Ward	25	6215
149	Alison Rosen Is Your New Best Friend	Alison Agosti	25	5520
150	Alison Rosen Is Your New Best Friend	Alison Haislip	25	4306
151	Alison Rosen Is Your New Best Friend	Allen Salkin	25	6392
152	Alison Rosen Is Your New Best Friend	Amir	25	5927
153	Alison Rosen Is Your New Best Friend	Andrew W.K.	25	5883
154	Alison Rosen Is Your New Best Friend	Andy Kindler	25	12535
155	Alison Rosen Is Your New Best Friend	Anna David	25	5327
156	Alison Rosen Is Your New Best Friend	Annie Lederman	25	8909
157	Alison Rosen Is Your New Best Friend	Anthony Jeselnik	25	3970
158	Alison Rosen Is Your New Best Friend	April Richardson	25	5527
159	Alison Rosen Is Your New Best Friend	Arden Myrin	25	4736
160	Alison Rosen Is Your New Best Friend	Art Alexakis	25	5737
161	Alison Rosen Is Your New Best Friend	Bald Bryan	25	18442
162	Alison Rosen Is Your New Best Friend	Ben Gleib	25	17402
163	Alison Rosen Is Your New Best Friend	Ben Hoffman	25	16370
164	Alison Rosen Is Your New Best Friend	Benjamin Harrison	25	6232
165	Alison Rosen Is Your New Best Friend	Bert Kreischer	25	16036
166	Alison Rosen Is Your New Best Friend	Bill Schulz	25	6011
167	Alison Rosen Is Your New Best Friend	Bob Saget	25	13278
168	Alison Rosen Is Your New Best Friend	Bobby Moynihan	25	6507
169	Alison Rosen Is Your New Best Friend	Bobcat Goldthwait	25	12989
170	Alison Rosen Is Your New Best Friend	Brad Williams	25	6459
171	Alison Rosen Is Your New Best Friend	Brian Redban	25	5582
172	Alison Rosen Is Your New Best Friend	Brody Stevens	25	5540
173	Alison Rosen Is Your New Best Friend	Brooks Wheelan	25	5106
174	Alison Rosen Is Your New Best Friend	Caissie St. Onge	25	5584
175	Alison Rosen Is Your New Best Friend	Cameron Esposito	25	6104
176	Alison Rosen Is Your New Best Friend	Casey Wilson	25	3915
177	Alison Rosen Is Your New Best Friend	Chelsea Peretti	25	5304
178	Alison Rosen Is Your New Best Friend	Chris D'Elia	25	7833
179	Alison Rosen Is Your New Best Friend	Chris Franjola	25	4856
180	Alison Rosen Is Your New Best Friend	Chris Hardwick	25	5664
181	Alison Rosen Is Your New Best Friend	Chris Laxamana	25	22737
182	Alison Rosen Is Your New Best Friend	Chris Mancini	25	4072
183	Alison Rosen Is Your New Best Friend	Christie Bishop	25	5458
184	Alison Rosen Is Your New Best Friend	Christina Pazsitsky	25	13731
185	Alison Rosen Is Your New Best Friend	Christina Pazsitzky	25	9068
186	Alison Rosen Is Your New Best Friend	Courtney Robertson	25	4538
187	Alison Rosen Is Your New Best Friend	Dameshek	25	5869
